A1,158,13,10,24,26
A2,139,127,10,15,26
B1,184,-2,32,15,15
B2,140,48,31,15,16
C1,170,-32,127,25,15
C2,130,-36,107,32,27
D1,160,-180,36,15,15
D2,135,-193,102,19,19
E1A,82,129,188,14,15
E1B,71,120,165,15,15
F1,64,81,73,15,15
F2,57,43,99,15,15
F3,59,-4,164,26,16
F/G1,80,-7,100,21,23
G1,54,-59,68,15,15
G2,32,-81,72,15,15
H1,73,-206,33,16,15
H2,64,-124,199,15,15
I1A,-25,130,12,15,5
I1B,-25,130,12,15,15
I2A,-54,109,29,15,15
I2B,-73,110,25,15,15
I/M1A,-53,77,45,15,15
I/M1B,-103,107,19,15,15
J1,-4,55,84,15,15
J2,-78,66,86,17,16
K1,-33,-40,129,15,18
K2,-38,-8,66,15,15
L1,-23,-180,45,17,18
L2,-37,-116,129,15,15
N1,-113,20,53,18,18
N2,-163,16,112,15,15
O1,-115,-69,101,15,15
O2,-173,-45,-86,15,11
P1,-109,-135,118,15,18
P2,-130,-120,30,20,27
Q1,-205,193,5,74,20
R1A,-194,69,93,19,17
R1C,-227,89,63,15,15
R2,-285,64,47,15,17
S1,-230,-61,179,15,17
S2,-263,-85,147,15,12
T1,-260,-179,43,15,24
T2,-287,-170,38,19,15